273K: 1=dg3375-07 2=dg3375-05 3=dg3375-06 4=ep855-08 5=ep855-09
# species       # reactions     # init conditions 
4               3               5
# samples       tmin    tmax    iobs 	prt skip t 
100000		0.0	140  	688	250 
output flag log flag case flag  ipred
3           0        1          0
lsq criteria:	eps	tol	imax
		1d-9	1d-9	80
'T  '   't0 '   '1'	'2E'   'cat'	'cmpx'	
273.0	0.0	0.1785	0.0275	1.48E-4	3.00E-4
0	0	0	0	0	0	
273.0	0.0	0.1965  0.0408  1.19E-4 2.90E-4
0	0	0	0	0	0	
273.0	0.0	0.1729  0.0626  1.32E-4 2.67E-4
0	0	0	0	0	0	
273.0	0.0	0.1531  0.0495  1.14E-4 2.53E-4
0	0	0	0	0	0	
273.0	0.0	0.1591  0.0391  1.38E-4 2.76E-4
0	0	0	0	0	0	
                1	1	1	1	0    these are flags for printing
k name, k, ifit, ktp, ktx, # species, species # (1 line ea. fwd and rev rxns)
'k1 '   370.0     1      0       0       2	1	3	1 + cat <-> 2E
'k-1'     0.0     0      0       0       1	4
'k2 '    15.95    1      0       0       1	4               cmpx <-> 2E + cat
'k-2'     0.0     0      0       0       2	2	3
'k3 '   1.00d-16  0      0       0       1	1               1 <-> 2E 
'k-3'   3.18d-3   1      0       0       1	2	
experimental data: conditions set, species (by number), time, conc, unc
1	1	4	0.15490191556618	0.001549019155662
1	1	8	0.136449003128493	0.001364490031285
1	1	12	0.118987958188104	0.001189879581881
1	1	16	0.102411438598343	0.001024114385983
1	1	20	0.086915379567723	0.000869153795677
1	1	24	0.072479371925417	0.000724793719254
1	1	28	0.059208585640246	0.000592085856402
1	1	32	0.047213114059002	0.00047213114059
1	1	36	0.036680289095988	0.00036680289096
1	1	40	0.027720551210711	0.000277205512107
1	1	44	0.020417351297312	0.000204173512973
1	1	48	0.01484196133337	0.000148419613334
1	1	52	0.010764728507805	0.000107647285078
1	1	56	0.008247145724996	8.24714572499562E-05
1	1	60	0.00658104343954	6.58104343953972E-05
1	1	64	0.005650408648291	5.65040864829093E-05
1	1	68	0.005190359395183	5.19035939518253E-05
1	1	72	0.004886616310554	4.88661631055397E-05
1	1	76	0.004747722494937	4.74772249493718E-05
1	1	80	0.004694920940233	4.69492094023314E-05
1	1	84	0.004634956245911	4.63495624591123E-05
1	1	88	0.004662476088254	4.66247608825353E-05
1	1	92	0.004620890524364	4.62089052436409E-05
1	2	4	0.046781735692682	0.000467817356927
